KEY,English,Italiano,Francese,Tedesco,Spagnolo,Russo
Choose Team,CHOOSE TEAM,SEGLI LA SQUADRA,CHOISIR L'ÉQUIPE,WÄHLEN SIE DAS TEAM,ELEGIR EL EQUIPO,ВЫБЕРИТЕ КОМАНДУ
Replay,REPLAY,RIGIOCA,REJOUER,WIEDERHOLEN,JUGAR OTRA VEZ,ПОВТОР
Continue,CONTINUE,CONTINUA,CONTINUER,FORTSETZEN,CONTINUAR,ПРОДОЛЖИТЬ
Settings,SETTINGS,OPZIONI,OPTIONS,OPTIONEN,OPCIONES,ОПЦИИ
Language,LANGUAGE,LINGUA,LANGUE,SPRACHE,IDIOMA,ЯЗЫК
Loading,LOADING,CARICAMENTO,CHARGEMENT,VERLADUNG,CARGAMENTO,ЗАГРУЗКА
Resume,RESUME,CONTINUA,CONTINUE,FÄHRT,CONTINÚA,ПРОДОЛЖИТЬ
SelectLanguage,SELECT LANGUAGE,SCEGLI LA LINGUA,CHOISIR LA LANGUE,SPRACHE AUSWÄHLEN,CAMBIAR IDIOMA,ВЫБЕРИТЕ ЯЗЫК
Tournament,TOURNAMENT,TORNEO,TOURNOI,TURNIER,TORNEO,ТУРНИР
Tournament Won,YOU HAVE WON THE TOURNAMENT,HAI VINTO IL TORNEO,VOUS AVEZ GAGNÉ LE TOURNOI,SIE HABEN DAS TURNIER GEWONNEN,QUE HA GANADO EL TORNEO,ВЫ ВЫИГРАЛИ ТУРНИР
Compliments,COMPLIMENTS,COMPLIMENTI,COMPLIMENTS,KOMPLIMENTE,FELICITACIONES,ПОЗДРАВЛЕНИЕ
MoreApps,MORE APPS,ALTRE APP,D'AUTRES APP,ANDERE APP,OTRAS APP,ДРУГИЕ ПРИЛОЖЕНИЯ
Pause,PAUSE,PAUSA,PAUSE,PAUSE,PAUSAR,ПАУЗА
SignIn,GOOGLE SIGN IN,ACCEDI CON GOOGLE,CONNEXION GOOGLE,ANMELDEN GOOGLE,ACCEDER GOOGLE,ВХОД В GOOGLE
SignOut,GOOGLE SIGN OUT,ESCI DA GOOGLE,SIGNER SUR GOOGLE,LOGOUT GOOGLE,DESCONECTARTE GOOGLE,ВЫХОД ИЗ GOOGLE
Arcade,ARCADE,ARCADE,ARCADE,ARCADE,ARCADE,АРКАДНАЯ
GameEnded,GAME ENDED,GIOCO FINITO,JEU EST TERMINÉ,SPIEL BEENDET,JUEGO SE TERMINÓ,КОНЕЦ ИГРЫ
GroupsUniversal,GROUP {0},GRUPPO {0},GROUPE,GRUPPE,GRUPO,ГРУППА
Someone,SOMEONE,QUALCUNO,QUELQU'UN,JEMAND,ALGUIEN,КТО-ТО
InvitationText,{0} IS CHALLENGING YOU!,{0} TI STA SFIDANDO!,VOUS CHALLEGING,CHALLEGING SIE,LE ESTÁ CHALLEGING,БРОСАЕТ ВЫЗОВ ТЕБЕ!
